,latitude,longitude,category
11804,39.5,-118.5,[Birds]
11805,39.5,-118.5,[Birds]
11806,39.5,-118.5,[Birds]
11807,39.5,-118.5,[Birds]
11808,39.5,-118.5,[Birds]
11809,39.5,-118.5,[Birds]
11810,39.5,-118.5,[Birds]
11811,39.5,-118.5,[Birds]
11812,39.5,-118.5,[Birds]
11813,39.5,-118.5,[Birds]
11814,39.5,-118.5,[Birds]
11815,39.5,-118.5,[Birds]
11816,39.5,-118.5,[Birds]
11817,39.5,-118.5,[Birds]
11818,39.5,-118.5,[Birds]
11819,39.5,-118.5,[Birds]
11820,39.5,-118.5,[Birds]
11821,39.5,-118.5,[Birds]
11822,39.5,-118.5,[Birds]
11823,39.5,-118.5,[Birds]
11824,39.5,-118.5,[Birds]
11825,39.5,-118.5,[Birds]
11826,39.5,-118.5,[Birds]
11827,39.5,-118.5,[Birds]
11828,39.5,-118.5,[Birds]
11829,39.5,-118.5,[Birds]
11830,39.5,-118.5,[Birds]
11831,39.5,-118.5,[Birds]
11832,39.5,-118.5,[Birds]
11833,39.5,-118.5,[Birds]
11834,39.5,-118.5,[Birds]
11835,39.5,-118.5,[Birds]
11836,39.5,-118.5,[Birds]
11837,39.5,-118.5,[Birds]
11838,39.5,-118.5,[Birds]
11839,39.5,-118.5,[Birds]
11840,39.5,-118.5,[Birds]
11841,39.5,-118.5,[Birds]
11842,39.5,-118.5,[Birds]
11843,39.5,-118.5,[Birds]
11844,39.5,-118.5,[Birds]
11845,39.5,-118.5,[Birds]
11846,39.583333,-118.466667,[Birds]
11847,39.583333,-118.466667,[Birds]
11848,39.583333,-118.466667,[Birds]
11849,39.583333,-118.466667,[Birds]
11850,39.583333,-118.466667,[Birds]
11851,39.583333,-118.466667,[Birds]
11852,39.583333,-118.466667,[Birds]
11853,39.583333,-118.466667,[Birds]
11854,39.583333,-118.466667,[Birds]
11855,39.583333,-118.466667,[Birds]
11856,39.583333,-118.466667,[Birds]
11857,39.583333,-118.466667,[Birds]
11858,39.583333,-118.466667,[Birds]
11859,39.583333,-118.466667,[Birds]
11860,39.583333,-118.466667,[Birds]
11861,39.583333,-118.466667,[Birds]
11862,39.583333,-118.466667,[Birds]
11863,39.583333,-118.466667,[Birds]
11864,39.583333,-118.466667,[Birds]
11865,39.583333,-118.466667,[Birds]
11866,39.583333,-118.466667,[Birds]
11867,39.583333,-118.466667,[Birds]
11868,39.583333,-118.466667,[Birds]
11869,39.583333,-118.466667,[Birds]
11870,39.583333,-118.466667,[Birds]
11871,39.583333,-118.466667,[Birds]
11872,39.583333,-118.516667,[Birds]
11873,39.583333,-118.516667,[Birds]
11874,39.533333,-118.5,[Birds]
11875,39.533333,-118.5,[Birds]
11876,39.533333,-118.5,[Birds]
11877,39.533333,-118.5,[Birds]
11878,39.533333,-118.5,[Birds]
11879,39.533333,-118.5,[Birds]
11880,39.533333,-118.5,[Birds]
11881,39.533333,-118.5,[Birds]
11882,39.533333,-118.5,[Birds]
11883,39.533333,-118.5,[Birds]
11884,39.533333,-118.5,[Birds]
11885,39.533333,-118.5,[Birds]
11886,39.533333,-118.5,[Birds]
11887,39.533333,-118.5,[Birds]
11888,39.533333,-118.5,[Birds]
11889,39.533333,-118.5,[Birds]
11890,39.533333,-118.5,[Birds]
11891,39.533333,-118.5,[Birds]
11892,39.533333,-118.5,[Birds]
11893,39.533333,-118.5,[Birds]
11894,39.533333,-118.5,[Birds]
11895,39.583333,-118.466667,[Birds]
11896,39.583333,-118.466667,[Birds]
11897,39.583333,-118.466667,[Birds]
11898,39.583333,-118.466667,[Birds]
11899,39.583333,-118.466667,[Birds]
11900,39.583333,-118.466667,[Birds]
11901,39.583333,-118.466667,[Birds]
11902,39.583333,-118.466667,[Birds]
11903,39.583333,-118.466667,[Birds]
11904,39.583333,-118.466667,[Birds]
11905,39.583333,-118.466667,[Birds]
11906,39.583333,-118.466667,[Birds]
11907,39.583333,-118.466667,[Birds]
11908,39.583333,-118.466667,[Birds]
11909,39.583333,-118.466667,[Birds]
11910,39.583333,-118.466667,[Birds]
11911,39.583333,-118.466667,[Birds]
11912,39.583333,-118.466667,[Birds]
11913,39.583333,-118.466667,[Birds]
11914,39.583333,-118.466667,[Birds]
11915,39.583333,-118.466667,[Birds]
11916,39.583333,-118.466667,[Birds]
11917,39.583333,-118.466667,[Birds]
11918,39.583333,-118.466667,[Birds]
11919,39.583333,-118.466667,[Birds]
11920,39.583333,-118.466667,[Birds]
11921,39.583333,-118.466667,[Birds]
11922,39.583333,-118.466667,[Birds]
11923,39.5,-118.5,[Birds]
11924,39.5,-118.5,[Birds]
11925,39.5,-118.5,[Birds]
11926,39.5,-118.5,[Birds]
11927,39.5,-118.5,[Birds]
11928,39.5,-118.5,[Birds]
